ARL_IATA,ARL_ICAO,ARL_NAME,ARL_HQ_NATION
SU,ULE,AB Aviation,China
JU,RZW,Adria Airways,France
HY,DKL,Aegean Airlines,China
NH,WJC,Aer Lingus,Norway
WN,JVX,Aero VIP,United Arab Emirates
KB,BPD,Aeroflot Russian Airlines,Norway
PM,EPN,AeroItalia,Japan
LW,DOS,Aerolineas Argentinas,Japan
DZ,VRQ,Aeromar,United States
NX,YAL,Aeromexico,Mexico
RS,YXC,Africa World Airlines,Finland
HW,MMF,Aigle Azur,Saudi Arabia
XR,HZA,Air Algerie,Italy
QX,PBA,Air Antilles,Japan
CL,MVY,Air Arabia,Japan
OU,TOI,Air Astana,Belgium
RZ,LYT,Air Austral,Brazil
RD,SIT,Air Berlin,Turkey
HZ,XDG,Air Botswana,United States
SX,BEF,Air Burkina,South Africa
SS,KEL,Air Busan,Egypt
DH,FIF,Air Cairo,Japan
ZF,FQG,Air Canada,Austria
RP,BRQ,Air Canada rouge,Malaysia
EK,VSI,Air Caraibes,United Kingdom
SQ,KUR,Air China,Saudi Arabia
BF,BAT,Air Corsica,China
UC,GVG,Air Costa,Portugal
BX,TLA,Air Cote d'Ivoire,Turkey
JE,FYV,Air Djibouti,United Kingdom
TC,YPA,Air Dolomiti,Turkey
KQ,YDI,Air Europa,United States
UI,IVJ,Air France,Spain
WU,UGU,Air Greenland,Switzerland
PJ,OKY,Air Iceland Connect,China
MN,NVS,Air India,Indonesia
FD,MNF,Air India Express,United States
LC,PTJ,Air Italy,China
XM,HOY,Air Juan,United States
SK,YHL,Air KBZ,Russia
WV,UMJ,Air Koryo,Denmark
PQ,SEU,Air Macau,South Africa
XH,AND,Air Madagascar,South Korea
GX,VZO,Air Malta,Russia
XJ,OFB,Air Mauritius,Italy
QP,DYA,Air Moldova,Japan
NS,MMN,Air Namibia,Malaysia
IW,SXL,Air New Zealand,Italy
AD,CHT,Air Niugini,South Korea
MK,SWG,Air North Yukon's Airline,United Kingdom
KN,EAX,Air Nostrum,Sweden
BG,GML,Air Panama,Russia
ED,VVK,Air Pegasus,Switzerland
AV,LDU,Air Rarotonga,United States
DK,VXF,Air Serbia,India
YS,EVW,Air Seychelles,Belgium
TN,JIU,Air Tahiti Nui,Saudi Arabia
TV,GXG,Air Tanzania,China
PV,GSA,Air Transat,Czech Republic
IR,XWE,Air Zimbabwe,Greece
GR,SXM,AirAsia,Switzerland
ER,AEI,AirAsia India,Ukraine
UW,DPA,AirAsia Philippines,Australia
HC,XPQ,AirAsia X,United Arab Emirates
PP,ORN,AirAsia Zest,Switzerland
FB,QYH,airBaltic,United Kingdom
OS,BCL,Aircalin,Germany
KE,MBV,Airlink,Ireland
XZ,FFS,Airnorth,United States
VZ,UTN,AirSWIFT,India
MB,DUC,Akasa Air,Japan
IU,YAQ,Alaska Airlines,Turkey
ZQ,UIT,Alitalia,United States
PY,MLV,Allegiant Air,Italy
HE,AAO,Alliance Air,United States
EG,WEA,Alliance Airlines,Canada
MT,GUO,Amaszonas,Singapore
ZC,TQZ,American Airlines,Argentina
RB,AOR,American Eagle,United States
CI,HNE,ANA All Nippon Airways,France
AP,NDE,AnadoluJet,Japan
ZN,HVI,Andes Líneas Aéreas,United Arab Emirates
ZS,JEI,Ariana Afghan Airlines,Switzerland
ZV,QJS,Arik Air,United Kingdom
PO,ASN,Arkefly,Germany
DU,UMG,Armenia Air Company,Saudi Arabia
WL,AYX,Asiana Airlines,Malaysia
LZ,OXR,ASKY Airlines,Egypt
BD,ZWK,ATA Airlines,Germany
PC,OJU,Atlantic Airways,South Africa
QK,RIO,Auric Air,United States
JT,HOX,Aurigny Air,Czech Republic
LG,BHD,Austrian Airlines,Finland
NM,MOK,Avelo Airlines,Singapore
XX,ZWM,Avianca,South Africa
CP,BNN,Avior Airlines,Germany
CG,ZTN,Azerbaijan Airlines,Italy
BI,CCF,Azur Air Germany,Israel
HG,FRV,BA CityFlyer,United States
RY,XOJ,Badr Airlines,Portugal
UX,KPM,Bahamasair,Japan
JP,NYC,Bamboo Airways,United States
JF,BXF,Bangkok Airways,Japan
EV,YIN,Bassaka Air,Malaysia
VU,ATE,Batik Air,Russia
GZ,FSR,Beijing Capital Airlines,India
BR,RPU,Belavia,Norway
MM,MEF,Bhutan Airlines,Brazil
DY,MWT,Binter Canarias,Egypt
ZE,VDX,Blue Air,Argentina
CF,FHK,Blue Islands,India
VL,VPM,Blue Panorama Airlines,Japan
WY,NMA,Blue1,Indonesia
QS,NUQ,Bluebird Airways,Canada
OH,YRC,bmi Regional,Canada
PS,PTL,BoraJet,India
AE,TKL,Boutique Air,United States
BL,TQW,Breeze Airways,France
PW,LHD,British Airways,United States
XI,MRH,Brussels Airlines,China
AL,RKV,Buddha Air,China
AH,WJG,Bulgaria Air,Canada
BT,BMH,Buta Airways,France
LQ,KBL,Camair-Co,Qatar
EH,MOG,Cambodia Airways,United States
CN,DEN,Cambodia Bayon Airlines,Turkey
EL,EGX,Canadian North,Japan
FW,FDW,Canaryfly,Norway
TT,CQV,Cape Air,Indonesia
CE,NED,Caribbean Airlines,Brazil
JY,NIG,Cathay Dragon,Indonesia
OJ,SQQ,Cathay Pacific Airways,Turkey
CD,FED,Cayman Airways,Japan
UP,WSC,Cebu Pacific,Mexico
JW,CHY,CemAir,Turkey
YI,WNO,Central Mountain Air,China
YU,PJM,China Airlines,Singapore
KP,TIL,China Eastern Airlines,India
YY,ATF,China Southern Airlines,Qatar
IZ,EFU,China United Airlines,Brazil
KL,MUS,Citilink,United Arab Emirates
YT,SUE,CityJet,Austria
PX,RZQ,Coastal Aviation,Russia
AS,NSU,Cobalt,New Zealand
BV,LSB,Comair,Malaysia
MI,RUY,Condor Airlines,Canada
LY,TGN,Copa Airlines,India
TJ,TDW,Corendon Airlines,United Kingdom
LT,TEU,Corsair,South Africa
WI,AAH,Croatia Airlines,Greece
IY,BEC,CSA Czech Airlines,Japan
DL,LLN,Cubana Airlines,United States
QL,KCC,Cyprus Airways,Ireland
MO,KMS,Delta Air Lines,India
GG,YJA,Dimonim Air,Spain
OG,RZE,Dragonair,Finland
GQ,HZO,Druk Air,Russia
RC,HEA,Dynamic International Airways,Russia
OW,VVD,Eastern Airlines,Saudi Arabia
WR,VXI,Eastern Airways,South Korea
SZ,FYP,Easyfly,United Kingdom
FT,IKH,easyJet,Japan
CB,KUQ,Edelweiss Air,South Korea
SP,HXI,Egyptair,United States
MQ,LYN,El Al Israel Airlines,Turkey
PE,GQQ,Ellinair,Switzerland
BJ,HLA,Emirates,Belgium
NB,RNQ,Ernest Airlines,Canada
VT,QBE,Estonian Air,Malaysia
YB,KUP,Eswatini Air,United States
