FLT_ARL_IATA,FLT_ROUTE,FLT_DATE,FLT_AIRCRAFT
SU,Moroni to Moheli,November 2019,NONE
SU,Moroni to Anjouan,June 2019,E120
SU,Anjouan to Dzaoudzi,June 2019,Embraer E120 
JU,Frankfurt to Pristina,September 2019,NONE
JU,Sofia to Amsterdam via Ljubljana,September 2019,NONE
JU,Sarajevo to Ljubljana,September 2019,CR 900
JU,Ljubljana to Zürich,September 2019,NONE
JU,Timisoara to Munich,August 2019,Bombardier CRJ
JU,Pristina to Zürich via Ljubliana,August 2019,NONE
JU,Ljubljana to Munich,October 2018,NONE
JU,Zurich to Ljubljana,October 2018,NONE
JU,Vienna to Sofia,July 2018,NONE
JU,Paris to Skopje via Ljubljana,May 2018,NONE
JU,Ljubljana to Munich,June 2018,NONE
JU,Ljubljana to Prague,June 2018,A319
JU,Frankfurt to Ljubljana,April 2018,NONE
JU,Ljubljana to Frankfurt,March 2018,NONE
JU,Ljubljana to Vienna,September 2017,ATR-72
JU,Ljubljana to Sarajevo,November 2017,CRJ700 / ATR72
JU,Zurich to Ljubjana,October 2017,NONE
JU,Ljubljana to Munich ,June 2017,NONE
JU,Ljubljana to Zurich,April 2017,CR9
JU,LJU to VIE,December 2016,Canadair 700
JU,LJU to VIE,October 2016,CRJ900
JU,LJU to CPH,November 2016,CRJ900
JU,CDG to LJU,November 2016,NONE
JU,MUC to LJU,October 2016,CRJ-900
JU,LJU to AMS,October 2016,CRJ-900
JU,LJU to BRU,August 2016,CRJ900 / A319
JU,MAN to LJU,September 2016,A319
JU,LGW to LJU,July 2016,NONE
JU,TLL to ARN,July 2016,Canadair 700
JU,ZRH to LJU,July 2016,CRJ 900
JU,LJU to ZRH,July 2016,CRJ900
JU,LCJ to CDG,July 2016,CRJ700
JU,MUC to PRN,January 2016,NONE
JU,LJU to AMS,September 2015,A319
JU,Ljubljana to Moscow,September 2015,CRJ900
JU,SKP to LJU,September 2015,A319
JU,Frankfurt to Ljubljana,February 2015,CRJ 900
JU,Ljubljana to Brussels,August 2015,NONE
JU,Manchester to Ljubljana,August 2015,A319
HY,Heraklion to Istanbul via Athens,July 2023,NONE
HY,Stockholm to Cairo via Athens,June 2023,NONE
HY,Athens to Brussels ,May 2023,NONE
HY,Athens to Mykonos,July 2023,NONE
HY,Barcelona to Athens,July 2023,NONE
HY,Santorini to Florence,July 2023,NONE
HY,Athens to Chania,July 2023,NONE
HY,Santorini to Tel Aviv via Thessaloniki / Athens,July 2023,NONE
HY,Munich to Athens,June 2023,A320
HY,London to Athens,June 2023,NONE
HY,Athens to Mitilini,July 2023,NONE
HY,Athens to London Heathrow,June 2023,A321
