PSG_ID,PSG_VERIFIED,PSG_AGE,PSG_GENDER,PSG_TYPE,PSG_SEAT_TYPE,PSG_FLT_ARL_IATA,PSG_FLT_ROUTE,PSG_FLT_DATE
OPCN6ETD,True,37,MALE,Solo Leisure,Economy Class,SU,Moroni to Moheli,November 2019
JSIDOPAO,True,25,MALE,Solo Leisure,Economy Class,SU,Moroni to Anjouan,June 2019
T3ZD5GXA,True,42,FEMALE,Solo Leisure,Economy Class,SU,Anjouan to Dzaoudzi,June 2019
MN2E7R5L,False,35,FEMALE,Solo Leisure,Economy Class,JU,Frankfurt to Pristina,September 2019
UEAUI9G2,True,23,FEMALE,Couple Leisure,Economy Class,JU,Sofia to Amsterdam via Ljubljana,September 2019
DHFJ2WVW,True,19,FEMALE,Couple Leisure,Economy Class,JU,Sarajevo to Ljubljana,September 2019
WI9RTYFZ,False,21,MALE,Business,Economy Class,JU,Ljubljana to Zürich,September 2019
THFHHN2E,False,15,FEMALE,Solo Leisure,Economy Class,JU,Timisoara to Munich,August 2019
TWK4TWBK,True,28,FEMALE,Solo Leisure,Economy Class,JU,Pristina to Zürich via Ljubliana,August 2019
BOSNM9M6,True,22,MALE,Family Leisure,Economy Class,JU,Ljubljana to Munich,October 2018
PEGZ4AMQ,False,27,MALE,Business,Economy Class,JU,Zurich to Ljubljana,October 2018
PLVYK6EX,True,14,FEMALE,Family Leisure,Economy Class,JU,Vienna to Sofia,July 2018
Q78LK755,True,29,FEMALE,Solo Leisure,Economy Class,JU,Paris to Skopje via Ljubljana,May 2018
LD25VBNN,True,18,MALE,Business,Economy Class,JU,Ljubljana to Munich,June 2018
HE6TWQ2Q,True,16,MALE,Couple Leisure,Economy Class,JU,Ljubljana to Prague,June 2018
NJEPCI3U,True,20,MALE,Business,Economy Class,JU,Frankfurt to Ljubljana,April 2018
CSJSEYA5,True,34,FEMALE,Solo Leisure,Economy Class,JU,Ljubljana to Frankfurt,March 2018
FA43B7T7,True,22,FEMALE,Solo Leisure,Economy Class,JU,Ljubljana to Vienna,September 2017
MCJ9TNO9,True,35,FEMALE,Business,Economy Class,JU,Ljubljana to Sarajevo,November 2017
JHRNXRKO,False,44,MALE,Couple Leisure,Economy Class,JU,Zurich to Ljubjana,October 2017
GY3KANHG,False,21,MALE,Family Leisure,Economy Class,JU,Ljubljana to Munich ,June 2017
XLIFOK6E,False,28,FEMALE,Business,Economy Class,JU,Ljubljana to Zurich,April 2017
QWD9KPR6,False,16,MALE,Solo Leisure,Business Class,JU,LJU to VIE,December 2016
MZ27T3SN,False,14,MALE,Business,Economy Class,JU,LJU to VIE,October 2016
FZX3LUND,False,21,FEMALE,Solo Leisure,Business Class,JU,LJU to CPH,November 2016
DNTK7IUN,False,22,FEMALE,Business,Economy Class,JU,CDG to LJU,November 2016
OQ3AW582,False,15,MALE,Solo Leisure,Economy Class,JU,MUC to LJU,October 2016
OB54FH8U,False,24,FEMALE,Solo Leisure,Economy Class,JU,LJU to AMS,October 2016
